ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Андреев Виталий Юрьевич;6123 226041;815-614-978 19;отек после травмы, переломы, вывихи;травматолог;2025-12-18T09:00+03:00;коагулограмма;2025-12-22T15:00+03:00;1750 руб.;2200 0853 5408 3862
Романова Радмила Вадимовна;3622 804712;998-094-024 76;легкая тошнота, общая слабость, головная боль;детский хирург;2025-12-04T14:00+03:00;общий анализ крови, общий анализ мочи;2025-12-08T15:00+03:00;1400 руб.;2200 0299 4883 7557
Константинов Игорь Станиславович;5223 002304;548-851-027 19;легкая тошнота, общая слабость, головная боль;мануальный терапевт;2025-12-09T12:15+03:00;общий анализ мочи;2025-12-11T09:00+03:00;600 руб.;4377 7260 9177 9824
Николайчук Макар Антонович;7725 406225;995-866-934 24;петехиальная сыпь, носовые кровотечения;гематолог;2025-11-24T11:45+03:00;анализ крови на железо, электрофорез белков;2025-11-26T09:00+03:00;10650 руб.;4622 0439 4522 8856
Попова Людмила Антоновна;5424 865402;912-165-585 94;общее недомогание, незначительное повышение температуры, головная боль;пародонтолог;2025-12-15T09:00+03:00;общий анализ мочи;2025-12-16T17:00+03:00;600 руб.;5100 0288 9373 4672
Власова Алла Николаевна;7220 001207;876-038-597 55;рвота, острые боли;хирург;2025-12-12T13:15+03:00;узи брюшной полости;2025-12-15T17:15+03:00;2800 руб.;4622 0439 4522 8856
Сергеева Оксана Евгеньевна;7718 779795;397-359-893 70;длительная субфебрильная температура, увеличение лимфоузлов;онколог;2025-12-11T10:15+03:00;гистологическое исследование;2025-12-15T17:00+03:00;1750 руб.;2200 0749 8084 1240
Сергеева Оксана Евгеньевна;7718 779795;397-359-893 70;мокрота, постоянный кашель, затрудненное дыхание;пульмонолог;2025-12-04T11:00+03:00;флюорография;2025-12-08T09:00+03:00;1200 руб.;4153 7423 5369 3785
Николайчук Макар Антонович;7725 406225;995-866-934 24;общее недомогание, головная боль;мануальный терапевт;2025-11-20T11:00+03:00;общий анализ мочи;2025-11-24T17:00+03:00;600 руб.;2200 0455 5439 8783
Егоров Богдан Ильич;2318 566480;408-588-770 27;незначительное повышение температуры;детский хирург;2025-12-08T10:00+03:00;общий анализ крови;2025-12-11T09:00+03:00;800 руб.;2200 0442 2535 8417
Семенова Елена Сергеевна;MC8302077;120-750-110 97;частые простуды, частые инфекции, хроническая усталость;иммунолог;2025-12-19T13:45+03:00;анализ крови на цитокины, анализ крови на субпопуляции лимфоцитов;2025-12-22T14:45+03:00;3300 руб.;4276 4409 1901 5815
Волков Степан Григорьевич;5023 700675;851-888-880 77;инфекционная сыпь, увеличение лимфоузлов при инфекции;инфекционист;2025-12-16T09:45+03:00;пцр диагностика;2025-12-17T17:00+03:00;1750 руб.;5100 0224 1541 5209
Орлова Ирина Кирилловна;N11496555;882-100-996 05;тяжесть внизу живота, зуд в области половых органов;гинеколог;2025-12-15T14:15+03:00;анализ на ЗППП, анализ крови на половые гормоны;2025-12-16T17:00+03:00;3400 руб.;2200 0774 8016 2454
Новикова Людмила Андреевна;5225 303579;605-297-516 96;боль в пояснице, повышенное давление, боль при мочеиспускании;нефролог;2025-12-04T17:00+03:00;урография, узи почек;2025-12-08T09:00+03:00;5250 руб.;2200 0544 4713 2474
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;посттравматический стресс, проблемы в отношениях, семейные конфликты;психотерапевт;2025-12-16T14:15+03:00;нейропсихологическое обследование, психологическое тестирование;2025-12-18T17:00+03:00;3500 руб.;2200 1415 6793 3417
Филиппова Диана Витальевна;BM9961107;069-901-627 97;выделения из влагалища, боль в области таза;гинеколог;2025-11-26T13:00+03:00;мазок на флору;2025-11-28T17:00+03:00;1650 руб.;4377 7208 4887 2560
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;петехиальная сыпь;гематолог;2025-12-08T17:00+03:00;коагулограмма, электрофорез белков;2025-12-09T17:00+03:00;10750 руб.;5536 9182 7229 9277
Романов Святослав Павлович;2324 962490;005-184-498 34;легкая тошнота, незначительное повышение температуры, общее недомогание;андролог;2025-12-10T10:30+03:00;общий анализ крови, общий анализ мочи;2025-12-12T09:00+03:00;1400 руб.;4276 4408 2723 1843
Алексеева Василиса Ярославовна;3819 307619;562-386-922 20;снижение слуха, першение в горле, боль при глотании;лор;2025-12-15T10:45+03:00;аудиометрия, мазок из носа;2025-12-17T17:00+03:00;3400 руб.;5100 2052 6965 8277
Новиков Никита Станиславович;6615 224131;602-606-474 57;опухоли мозга;нейрохирург;2025-12-10T17:00+03:00;мрт головного мозга;2025-12-12T09:00+03:00;11500 руб.;2200 0506 0685 3611
Волкова Полина Владиславовна;0223 502682;540-331-739 49;сжимающая боль за грудиной, давящая боль за грудиной, повышенное давление;кардиолог;2025-11-20T10:15+03:00;суточное мониторирование артериального давления, анализ крови на липиды;2025-11-24T16:15+03:00;3400 руб.;5100 2052 6965 8277
Орлова Ирина Кирилловна;N11496555;882-100-996 05;давящая боль за грудиной, боль в левой части груди, повышенное давление;кардиолог;2025-12-15T14:45+03:00;узи сердца;2025-12-17T14:45+03:00;3500 руб.;5213 2427 8755 8865
Большакова Людмила Константиновна;4224 704506;842-824-172 09;першение в горле, боль в ухе, выделения из носа;лор;2025-11-25T16:00+03:00;мазок из зева;2025-11-27T17:00+03:00;1650 руб.;4630 2768 6508 6371
